,0
13,"Hatem Karoui, pionnier du Slam tunisien était l’invité de Hédi dans Corniche de ce mardi 10 juillet 2018 pour parler de «my name is Putin».   L’idée était de réaliser un clip dans le but de faire une continuation à my name is Sebsi. Le réalisateur Lassaad Oueslati était bien inspiré et il a développé le projet… Nous avons exploité des clichés qui sortent de l’ordinaire. Par exemple la vodka est un cliché russe par excellence. Mais, nous savons bien que Putin n’est pas un alcoolique, a expliqué Hatem Karoui.   Cette année est consacrée à la documentation de beaucoup de mes travaux. Je vise la documentation de 5 ou 6 chansons et slam. My name is Putin sera produite dans une version plus courte et elle va atteindre la Russie, a assuré Hatem Karoui.   Le clip de cette chanson est aussi une carte de visite qui montre les capacités des tunisiens dans la réalisation et la création, a conclu Hatem Karoui.     "
14,"Dans le nouveau classement de Forbes consacré aux «stars arabes de la scène mondiale», l’icône de la chanson libanaise a été sacrée plus grande star arabe de tous les temps.   Le numéro de juillet du magazine économique américain a ainsi lancé un classement d’un nouveau genre qui sera désormais annuel et se consacrera aux stars arabes de la chanson, du cinéma, de la mode et du football. Forbes qui a élu la grande Fayrouz en tête de son classement 2018 rappelle que la star aujourd’hui octogénaire a débuté sa carrière de chanteuse au sein d'une chorale à la radio publique libanaise. Depuis, la chanteuse a vendu plus de 80 millions de disques dans le monde et a chanté dans les salles les plus prestigieuses, tels le Royal Albert Hall de Londres, le Carnegie Hall de New York, et le John F. Kennedy Center for the Performing Arts de Washington. Fayrouz culmine en tête de classement dans une catégorie à part, «all time great», et se positionne ainsi au-dessus du numéro 1 de la liste qui n’est autre que le Marocain Karim Kharbouch alias French Montana. Autre Marocain consacré dans ce classement, Douzi qui arrive en 4e position.    "
15,"Après 70 minutes de performance sur scène, la chanteuse libanaise s'est évanouie sur scène dans la soirée du 2 février 2018. Elle a été victime d'une hypertension et secouru à temps grâce à l'équipe médicale présente sur place avant de poursuivre le concert une vingtaine de minutes après.    Dès son arrivée à Dubai, la chanteuse s'est dite à plusieurs reprises au bord de l'épuisement.       "
16,"La HAICA a décidé ce jeudi 24 mai 2018 d’infliger une amende de 20 mille dinars à la chaîne privée Al Insen TV.   La HAICA a relevé une infraction commise dans un programme diffusé sur cette chaîne le 5 mai 2018 (jour du silence électoral). Un chroniqueur a appelé à l’élection d’une liste bien déterminée, a précisé la HAICA dans son communiqué.  "
17,"""Les années folles de Tunis"" est la comédie musicale qui sera lancée par l'auteur et journaliste Soufiane Ben Farhat.   ""L'œuvre fait chanter les grandes divas des années 1920, entourées de leurs compagnons, journalistes, poètes et paroliers.  Habiba Mesika, Fathia Khairi, Chefia Rochdi et Hassiba Rochdi, sont au cœur de ce  spectacle, dans ce show qui durera environ deux heures.  Les personnages de Abderrazak Karabaka, Abdelaziz El Aroui, Ali Douaji, Hédi Laabidi, Mahmoud Bourguiba, Jaleleddine Naccache, Mustapha Kheraief et Jameleddine Bousnina, seront aussi interprétés dans cette comédie musicale.   Pour les acteurs Taoufik Bahri et Fathi Messelmani seront en tête d’affiche.    Les chanteurs Sameh Landoulsi, Maher Hammami, Mongia Sfaxi et Naoures Zamit seront les interprètes des chansons, a révélé le journaliste.       "
18,"Le clip de Mi Gna est dévoilé. Maître Gims vient de mettre en ligne hier vendredi 19 janvier 2018 la reprise d'un titre de Dj Super Sako chanté avec l'artiste arménien Hayko. Un titre publié en août 2016.   Le clip cartonne déjà. Sur Youtube, le clip a dépassé un million de vues en moins de 24 heures. Voici le nouveau clip     Voici le titre sorti en 2016    "
19,"Mohamed Ztat, membre du groupe musical tunisien, ATTARAB a indiqué au micro de Mosaïque FM que le groupe donnera un spectacle demain 1er juin à 22h00 à Dar Hussein et ce à l’occasion de la 36e édition du festival de la Medina. D’après Mohamed Ztat, le groupe ATTARAB donnera son 4e spectacle en Tunisie après un premier concert au Festival de Hammamet et deux participations au festival de la Médina. Pour son spectacle à Dar Hussein, le groupe a préparé un programme original reprenant les meilleurs classiques de la chanson tunisienne et orientale dont des chansons de films égyptiens. Notons que le groupe s’appuie sur un répertoire musical riche et varié qui lui permet de s'adapter à tous les publics. Mohamed Ztat a souligné que le groupe ATTARAB a été formé officiellement depuis 16 ans et que son noyau est composé de jeunes musiciens dynamiques tunisiens et maghrébins, issus et évoluant dans les régions parisiennes. 






volume





0:00






0:00


JavaScript is required.


Play / pause








Mohamed Ztat








    "
20,"A l’occasion de la fête de la République, la 54 ème édition du Festival International de Carthage a programmé une soirée jeune, mercredi soir, animée par le DJ et auteur-compositeur international Willy William. Le comité d’organisation du festival (chaque ticket acheté donne droit d’accès à deux personnes), un jeune public venu en famille ou en groupe a envahi les gradins de l’amphithéâtre romain de Carthage pour découvrir ce Dj franco-mauricien qui se produit essentiellement dans les discothèques du monde entier.  Derrière ses platines et durant environ deux heures, le Dj Willy William a, enflammé la scène par un mixage de différents genres musicaux ralliant d’une manière surprenante de la musique électronique ou latine et la musique pop des années 80 au jazz des années 60. Alternant ses propres compositions comme son tube "" Ego "" à Sting "" Englishman in New York "" ou Ray Charles "" Hit the road Jack "", Willy William a réussi à faire danser et chanter le public tout au long de la soirée.    "
21,"Spice Girls, vous vous en souvenez ? C’est le ""Girls Band"" musical formé au milieu des années 1990, ayant connu un franc succès notamment entre 1995 et 1998. Melanie Brown, membre du groupe a annoncé hier 23 juillet que les Spice Girls vont se retrouver très bientôt et que les cinq filles se sont entendues pour étudier de nouvelles opportunités. Elle a ajouté que Victoria Beckham était la plus difficile à convaincre de réintégrer le groupe. Rappelons que le groupe était formé de cinq filles à savoir, Victoria Beckham, Emma Bunton, Melanie Brown, Melanie Chisholm et Geri Halliwell. La dernière avait quitté les Spice Girls il y a 20 ans mais depuis, le groupe s’est reformé à quelques reprises, dont une tourné mondiale entre 2007 et 2008 et en 2012 lors de la cérémonie de clôture des Jeux Olympiques 2012 à Londres.      "
22,"La chanteuse tunisienne, Latifa Arfaoui, a reçu le prix de la meilleure chanteuse au Moyen-Orient qu’elle a décroché depuis quelques semaines. Latifa Arfaoui a posté sa photo avec ce prix sur Instagram et a dédié cette récompense à son public. Elle a également remercié le comité d’organisation de Mema Awards. "
23,"Le syndicat régional des forces de sécurité intérieur à Métlaoui (Gafsa) a annoncé qu'il n'assurera pas la sécurité du spectacle du rappeur Klay BBJ, ce mercredi 1er août 2018. En revanche, le syndicat n'a pas révélé les raisons de sa décision, dans le communiqué publié dans la soirée de mardi 31 juillet.       "
24,"""Le rappeur tunisien ""GHali"", basé en Italie a raflé le prix du meilleur artiste occidental de 2017 au Mosaïque Awards 2017, grâce à des votants assidus. Il s'est exprimé dans l'émission ""Noujoum"" sur les ondes de Mosaïque FM diffusée dans la matinée du 6 janvier 2018 : ""Je suis très heureux et honoré d'avoir reçu cette récompense."" Une récompense qu'il dédie à sa mère et à tous les tunisiens. Concernant ses nouveautés, ""Ghali"" s'est exprimé sur son nouvel album paru récemment et qui connaît un succès fulgurant notamment en Italie, indiquant que des concerts sont au programme prochainement en Tunisie et qu'une chanson et qu'un clip paraîtront bientôt.      "
25,"La chanteuse américaine a reçu mercredi soir à Londres un Brit Award d’honneur pour son « exceptionnelle contribution à la musique » Dans les airs, sous l’eau et les flammes… Pink était parfaitement dans son élément mercredi soir sur la scène des Brit Awards. Pendant plus de onze minutes, la chanteuse américaine a livré une performance spectaculaire enchaînant changements de costumes et chorégraphies sportives le temps d’un pot-pourri de quelques unes de ses chansons. Avec un tel spectacle, Pink a prouvé pour qui en doutait encore qu’elle méritait pleinement son Brit Award d’honneur pour son «exceptionnelle contribution à la musique». Depuis ses débuts en 2000, l’artiste américaine a sorti sept albums studio et un best-of, vendus à 60 millions d’exemplaires. La prestation de la star a commencé dans les coulisses, qu’elle a arpenté en peignoir au rythme de Walk Me Home. Pink s’est ensuite enroulée dans un gigantesque boa rouge et a pris place sur un cerceau pour débarquer sur scène par le toit de l’O2 Arena de Londres (Angleterre) et interpréter Just Like Fire. Après, elle a entonné Just Give Me A Reason avec le chanteur de Bastille, Dan Smith, et a dansé et chanté sous la pluie le titre Try. Elle a conclu avec son tube What About Us entourée de plusieurs dizaines de danseurs, sous les acclamations du public   . "
26,"Alors que les fans de Beyoncé et d'Adele attendent de nouvelles chansons des divas depuis quelque temps, le leader de OneRepublic, Ryan Tedder, a laissé entendre que les deux superstars ont été en studio ensemble. Dans un récent entretien avec la station de radio Z100 New York, Ryan Tedder a confié que les deux chanteuses à succès avaient enregistré en titre ensemble. Bien que les détails concernant cette collaboration soient très limités, le musicien a révélé que le chanteur de Coldplay, Chris Martin, avait aussi contribué à un solo de piano sur le pont de cette même chanson. Ce morceau devrait figurer sur le prochain album de OneRepublic, intitulé ""Human"", à paraître fin novembre. Ce sera le cinquième album studio du groupe, suite ""Oh My My"", paru en 2016. OneRepublic a déjà dévoilé deux extraits de ""Human"", intitulés ""Rescue Me"" et ""Wanted.""   Le dernier album d'Adele, son troisième intitulé ""25"", date de 2015. Elle a depuis limité ses apparitions publiques, laissant présager l'arrivée prochaine d'un nouvel opus. Beyoncé a récemment présenté ""Lion King: The Gift"", un opus inspiré du film de Disney réalisé par Jon Favreau. Un documentaire détaillant la création de l'album, intitulé ""Beyoncé Presents: Making the Gift"", a été diffusé le 16 septembre sur ABC aux Etats-Unis. "
27,"La chanteuse Yosra Mahnouch a lancé un nouveau clip intitulé 'Ali baba', dans le but de promouvoir le tourisme Tunisien. Sa nouvelle production a été soutenue par le ministère du tourisme et de l'artisanat. La chanson tirée des paroles de Habib Mahnouch et composée Yosra Mahnouch, est un mélange entre la Nouba et Al Hadhra. "
28,"Le comité directeur de la 55ème édition du Festival International de Hammamet (FIH) vient de dévoiler, mardi, sur sa page officielle Facebook, la programmation modifiée, suite du décès le 25 juillet 2019 du Président Béji Caïd Essebsi. Voici le programme: Vendredi 2 Août 2019 : Concert du musicien libanais Ziad Rahbani  Samedi 3 Août 2019 : Concert du musicien libanais Ziad Rahbani  Dimanche 4 Août 2019 : Concert de l’égyptien Mohamed Mohsen  Lundi 5 Août 2019 : Concert Reggae du groupe ""THIRD WORLD""  Mardi 6 Août 2019 : Comédie musicale ""Les Années Folles"" Texte : Soufiane Ben Farhat / Mise en scène: Med Mourad Gharsalli  Mercredi 7 Août 2019 : Concert ""Chaouia"" de Nidhal Yahyaoui  Jeudi 8 Août 2019 : Concert musique Salsa du vénézuélien Oscar D’Leon  Vendredi 9 Août 2019: Concert du prince de la chanson arabe Saber Rebai  Samedi 10 Août 2019 : Concert de la diva du blues et du gospel Liz McComb  Mardi 13 Août 2019: one Woman Show ""Big Bossa"" de Wajiha Jendoubi  Mercredi 14 Août 2019: Concert du libanais Marwan khoury  Jeudi 15 Août 2019 : Concert du rappeur marseillais L'ALGERINO  Vendredi 16 Août 2019: Concert Revolutionary  Mood de Mounir TROUDI  Samedi 17 Août 2019 : clôture signée la diva Amina Fakhet  Dimanche 18 Août 2019 : Concert de la chanteuse franco-algérienne Souad Massi.  Lundi 19 Août 2019 : Pièce théâtrale ""Juif "" Texte et Mise en Scène : Hamadi Louheibi (Centre National des Arts Dramatiques et Scénique de Kairouan) (TAP) "
29,"Lors d'un concert à Dubai, Elissa la chanteuse libanaise est tombée dans les pommes sur scène. Elle s'est effondrée devant une foule de fans ahuris venus l'acclamer. Elle a à priori eu un malaise. Un staff médical est rapidement intervenu pour la secourir.       "
30,"Il s'appelle Marouen Rahmouni, il est tunisien, âgé de  24 ans et  étudiant en médecine.  Hier samedi il a réussi à marquer les esprits du jury de The Voice 8 diffusé sur TF1.    Marouen a interprété avec talent un grand titre d’Alicia Keys, « If I Ain't Got You ». Sa voix particulière a attisé la curiosité du jury lors des auditions à l’aveugle.    Finalement,  il a su faire mouche auprès de Jenifer qui a décidé de l’intégrer dans son équipe.    Mais avant ce passage, la première découverte de Marouen en Tunisie était grâce au Grand Concours de Chant By Mosaique FM et du Conservatoire de musique Riadh Fehri. D’ailleurs, il était le lauréat de ce concours.     "
31,"Les places pour le concert de Céline Dion prévu pour le 16 juillet 2020 aux Vieilles Charrues, se sont arrachées ce mercredi matin. Selon l’équipe du festival, les 55.000 billets ont été vendus en seulement neuf minutes. Pour tenter de satisfaire le plus grand nombre, les organisateurs avaient pourtant limité le nombre de places à deux par personne. Mais cela n’a pas suffi, loin de là. Sur les réseaux sociaux, ceux qui ont réussi à décrocher le précieux sésame affichent leur joie. Le jeudi soir affichant complet, la direction des Vieilles Charrues a annoncé que la billetterie pour les trois autres soirées du festival ouvrira le 18 décembre. A cette occasion, une partie de la programmation du festival sera dévoilée.    "
32,"""Horisons retrouvés"", c'est le nom du premier album de la chanteuse et animatrice à MosaiqueFM Mira !   8 titres composent le tout nouvel album de Mira, avec la collaboration de l'auteur compositeur et arrangeur Youssef Lakhoua, du violoniste Radhi Chaouali au mixage à l'enregistrement et à l'arrangement ainsi que Hichem Said à la percussion. Mira sera ce vendredi 5 juillet à la galerie d'art ""Mille Feuilles"", à partir de 18h pour la signature de son album où on y trouve diverses chansons en quatre langues!      "
33,"Le bureau exécutif du Syndicat tunisien du secteur de la musique a annoncé, dans un communiqué rendu public hier, la radiation de Mohsen Cherif de la liste des chanteurs adhérents. Cette décision a été prise suite aux liens amicaux et professionnels noués par cet artiste avec l'entité sioniste, selon le communiqué.  Monhsen Chérif s'est, en effet, rendu, à plusieurs reprises en Israël pour y donner des concerts, faisant fi de l'engagement de la Tunisie en faveur de la question palestinienne et du soutien qu'elle lui apporte. La syndicat, a, également, mis en garde contre tout accord à conclure avec le concerné. "
34,"YouTube a annoncé mercredi que les insultes, les menaces personnelles et le harcèlement en général ne seraient plus tolérés, une nouvelle étape dans le processus d'assainissement de la plateforme de vidéos entrepris depuis plusieurs années. ""Nous ne permettrons plus les contenus malveillants qui insultent quelqu'un sur la base de ses caractéristiques personnelles, comme la race, le genre ou l'orientation sexuelle"", déclare Matt Halprin, vice-président de la filiale de Google, dans un communiqué en ligne. En plus des insultes, YouTube élargit sa définition du harcèlement. ""Désormais, les menaces sous-entendues ou implicites seront interdites au même titre que les menaces explicites"", indique Matt Halprin. ""Cela comprend les contenus simulant de la violence envers un individu ou des termes impliquant que des violences physiques pourraient avoir lieu"", détaille-t-il. Manipuler une arme en parlant de quelqu'un ou encore placer son visage sur une vidéo de jeu vidéo violent ne seront plus acceptables, par exemple. YouTube prévoit une série de mesures de rétorsion contre les chaînes qui enfreignent de façon répétée le code de conduite anti-harcèlement: impossibilité de générer des revenus, suppression de contenus... Le réseau pourra aller jusqu'à supprimer les chaînes récidivistes.   (AFP) "
35,"Le chanteur syrien et lauréat 2010 de l'émission de télé-réalité arabe Star Academy, Nassif Zeitoun, sera l'invité de Hedi Zaiem dans Corniche du jeudi 25 juillet 2019, afin de parler de son concert à Carthage qui aura lieu vendredi. Un deuxième concert sera probablement programmé durant cette édition du festival international de Carthage. Il est à noter qu'il n'est pas possible d'être accompagné de plus d'un seul enfant de moins de 6 ans pour la soirée de Nassif Zeitoun. "
36,"Le président de la République par intérim, Mohamed Ennaceur, se réunit avec les membres du comité nationale chargé de l'organisation des funérailles du Béji Caid essebsi, décédé ce matin. Il a reçu, à cet effet, les ministres des Affaires étrangères et de l'Intérieur ainsi que le porte-parole du Gouvernement, Iyed Dahmeni. "
37,"Le rappeur tunisien Balti a déclaré au micro de Mosaique FM qu'il s'apprêtait à lancer un duo avec le chanteur arménien de Mi gna, Super Sako.  Rappelons que la chanson de Balti et Hamouda ""Ya Lili"" a connu un grand succès et a été reprise en langue arménienne et dialecte  libanais.  "
38,"Le roi du raï, Cheb Khaled a donné un concert vendredi 29 décembre 2017 au Village Global à Dubaï aux Emirats. Le concert a été marqué par une scène ou l’artiste algérien a brandi les drapeaux tunisien, algérien et marocain.   "
39,"Le roi du Rai, Cheb Khaled, s'est produit, dimanche 12 août, au Théâtre de Plein Air dans le cadre du  Festival International Djerba Ulysse après une absence qui a duré 22 ans. En effet, sa dernière visite à l'île date de 1996 . Les tickets se sont vendus à 50 dinars (au lieu de 40 dinars) pour les gradins et à 80 dinars (au lieu de 70 dinars) pour les chaises. 3000 spectateurs originaires de plusieurs pays ont été présents et une couverture médiatique et sécuritaire importante a été assurée. 


    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba



    	Concert de Khaled  au festival Ulysse à Djerba





jQuery(document).ready(function($) {
	$(""#gallery-10277"").royalSlider({
    	fullscreen: { enabled: true, nativeFS: true },
    	controlNavigation: ""thumbnails"",
    	autoScaleSlider: true, 
    	autoScaleSliderWidth: 160,     
    	autoScaleSliderHeight: 90,
    	loop: false,
    	imageScaleMode: ""fit-if-smaller"",
   	 	navigateByClick: true,
   	 	numImagesToPreload:2,
    	arrowsNav:true,
    	arrowsNavAutoHide: true,
    	arrowsNavHideOnTouch: true,
    	keyboardNavEnabled: true,
    	fadeinLoadedSlide: true,
    	globalCaption: true,
    	globalCaptionInside: true,
    	thumbs: { appendSpan: true, firstMargin: true, paddingBottom: 4 }
  	});
});
  "
40,"Vous aurez l'occasion à partir du mercredi 18 avril 2018 d'écouter la nouvelle chanson de Si Lemhaf intitulée Hanini Alik sur les ondes de Mosaïque FM.   Si Lemhaf a déjà tourné un clip pour cette chanson.   






volume





0:00






0:00


JavaScript is required.


Play / pause








Extrait de ''Hanini Alik'' - Si Lemhaf








 "
41,"Hassen Zargouni est intervenu par téléphone à l'émission Noujoum de ce samedi 27 octobre afin de parler de la 3 ème édition de Rouhanyet Mystic Fest qui se tiendra du 1er au 4 novembre au gouvernorat de Tozeur, étant le directeur du festival. Il a dévoilé la liste des artistes qui feront partie de la programmation entre danses folkloriques et chants soufis revisités. Maher Zein, Dorsaf Hamdani, Hedi Agrebi, Youssef Seddik, Hassine Ben Azzouz et Iheb Youness seront entre autre présents. Il a ajouté que le budget du festival s'élève à 650 mille dinars et que les soirées auront lieu dans différents endroits de la ville de Nafta. Zargouni a indiqué que quelques spectacles seront gratuits et que d'autres seront à 20 et à 40 dinars.   "
